filename,timestamp,avg_R,avg_G,avg_B,avg_H,avg_S,avg_V,avg_L,avg_a,avg_b,fermentation_day,fermentation_day_float
cam1_05-07_15-00.jpg,2025-05-07 15:00:00,97.41593996704636,77.44911942116198,73.85914033956587,79.58818368077942,124.78018912529551,100.94120338133104,84.68102127659574,137.6736416648757,135.0072201447095,1,0.0
cam1_05-07_16-00.jpg,2025-05-07 16:00:00,97.94815044057597,78.32986976144423,73.10287799985673,66.52508718389569,126.5762654917974,101.41819729206964,85.30409126728276,137.3247469016405,135.80788523533204,1,0.041666666666666664
cam1_05-07_17-00.jpg,2025-05-07 17:00:00,98.31285306970413,78.65100637581489,80.44162303889964,99.57726327100795,116.28214786159467,102.28330997922487,86.10279060104592,138.23670076653056,131.44048427537788,1,0.08333333333333333
cam1_05-07_18-00.jpg,2025-05-07 18:00:00,98.89355985385772,79.48579712013755,76.7642159180457,81.9024090550899,121.60767605129307,102.6182126226807,86.52923117701842,137.50352618382405,134.38983021706426,1,0.125
cam1_05-07_19-00.jpg,2025-05-07 19:00:00,99.06450390429114,79.59642209327316,76.54996590013612,79.92109621033025,122.96580528691167,102.83532344723834,86.62976445304105,137.5006576402321,134.58914549752848,1,0.16666666666666666
cam1_05-07_20-00.jpg,2025-05-07 20:00:00,98.11155254674404,81.11133404971703,81.32944021778064,91.8430486424529,110.92762991618311,102.36487484776846,87.60071752990902,136.7775098502758,131.7714885020417,1,0.20833333333333334
cam1_05-07_21-00.jpg,2025-05-07 21:00:00,98.27605071996561,81.91440490006447,81.54303044630704,91.02439444086252,109.33598080091697,102.50093473744538,88.17284432982305,136.4061365427323,131.95140267927502,1,0.25
cam1_05-07_22-00.jpg,2025-05-07 22:00:00,98.40401318145999,78.48169324450176,81.24192248728419,100.48451436349309,119.70499921197793,102.63487341500108,85.96432208610932,138.54133132745898,130.96488387420303,1,0.2916666666666667
cam1_05-07_23-00.jpg,2025-05-07 23:00:00,99.64801461422738,79.9871040905509,77.32438082957232,81.53212665663729,123.68133920767963,103.52968335840676,87.09812164195142,137.67481309549396,134.42831105380043,1,0.3333333333333333
cam1_05-08_00-00.jpg,2025-05-08 00:00:00,99.80793753134179,80.4875850705638,82.28688401747976,97.87398409628197,116.28449186904506,104.12870406189555,87.8666616519808,138.0771533777491,131.42958421090336,1,0.375
cam1_05-08_01-00.jpg,2025-05-08 01:00:00,99.63576201733649,81.89150870406189,82.1416228956229,92.51082599040046,112.6013912171359,103.95112902070349,88.70767060677699,137.1242530267211,131.95586617952574,1,0.4166666666666667
cam1_05-08_02-00.jpg,2025-05-08 02:00:00,100.3130368937603,80.80533605559137,82.62755885092055,98.86018812235834,118.09618353750268,104.71537674618526,88.22030689877498,138.18368192563938,131.4576501182033,1,0.4583333333333333
cam1_05-08_03-00.jpg,2025-05-08 03:00:00,100.1005606418798,83.0051816032667,77.24392277383767,68.13402851207107,123.20765771187048,104.27006920266494,89.36803023139193,136.01532172791747,135.6572201447095,1,0.5
cam1_05-08_04-00.jpg,2025-05-08 04:00:00,101.01325739666166,83.1832861952862,77.5798740597464,68.91778193280321,121.84983250949209,105.07514306182391,89.93223325453113,136.33690665520453,135.77196231821765,1,0.5416666666666666
cam1_05-08_05-00.jpg,2025-05-08 05:00:00,100.76075922344008,83.16258643169282,77.22496654488144,67.08054817680349,123.77481911311699,104.89773522458628,89.75934823411419,136.24380127516298,135.85874117057097,1,0.5833333333333334
cam1_05-08_06-00.jpg,2025-05-08 06:00:00,101.18145024715237,82.92464947345799,77.86335969625331,72.37960914105595,124.0671158392435,105.34885636506912,89.82772104018913,136.63816018339423,135.5491209972061,1,0.625
cam1_05-08_07-00.jpg,2025-05-08 07:00:00,101.24374167203955,84.08973551113976,76.19970800200588,52.63478186116484,125.9224372806075,105.32714220216347,90.5288738448313,135.79306153735942,136.8523561859732,1,0.6666666666666666
cam1_05-08_08-00.jpg,2025-05-08 08:00:00,102.12546529120998,83.82850805931658,77.32444086252598,64.24191632638441,124.84537559997135,106.19673744537575,90.79048069345941,136.49259832366215,136.34556902356903,1,0.7083333333333334
cam1_05-08_09-00.jpg,2025-05-08 09:00:00,100.7812098287843,82.38706769825919,77.177654129952,71.64235790529408,126.04532473672899,104.97980600329537,89.34098445447381,136.68840103159252,135.62531169854574,1,0.75
cam1_05-08_10-00.jpg,2025-05-08 10:00:00,100.60123132029516,82.20447023425747,76.99378766387277,71.6536365069131,126.36222709363135,104.81087140912673,89.16888072211476,136.68944838455477,135.6270251450677,1,0.7916666666666666
cam1_05-08_11-00.jpg,2025-05-08 11:00:00,101.45082813955155,82.38812135539796,79.63797621606132,80.83264159323734,122.41300565943119,105.73355555555555,89.78973909305824,137.29498115910883,134.45400831005085,1,0.8333333333333334
cam1_05-08_12-00.jpg,2025-05-08 12:00:00,101.48019485636507,84.44840203452969,80.30854645748263,76.19684203739523,116.91450705637939,105.86750884733864,91.17986374382119,136.1340385414428,134.78622351171288,1,0.875
cam1_05-08_13-00.jpg,2025-05-08 13:00:00,101.65853542517372,82.70007450390429,80.3912168493445,82.09825832796045,121.13167347231177,106.04898932588294,90.14101396948206,137.2989403252382,134.19253929364567,1,0.9166666666666666
cam1_05-08_14-00.jpg,2025-05-08 14:00:00,100.81459087327173,83.78394584139265,80.12749093774626,78.07167820044415,117.69276323518876,105.29435532631277,90.4947948993481,136.23371301669175,134.50885536213195,1,0.9583333333333334
