frame_idx,timestamp,day_float,count,diam_mean_mm,diam_std_mm,vel_mean_mm_s,count_smooth
0,2025-05-07 15:00:00,0.0,0,,,,243.66666666666666
1,2025-05-07 16:00:00,0.041666666666666664,369,2.0548233940074843,0.810539315089667,,271.0
2,2025-05-07 17:00:00,0.08333333333333333,362,1.9699766760624184,0.7975198332294473,0.00025942404269979527,286.8
3,2025-05-07 18:00:00,0.125,353,2.047530443949281,0.801221235293246,0.00016840309791475133,335.2
4,2025-05-07 19:00:00,0.16666666666666666,350,2.0602573599076677,0.8045590957304649,0.00020546770925201495,325.0
5,2025-05-07 20:00:00,0.20833333333333334,242,1.8805066106733455,0.7760826663887567,0.0003922604778066273,297.8
6,2025-05-07 21:00:00,0.25,318,1.9543647859413145,0.8043164176578866,0.00014899787583919568,268.8
7,2025-05-07 22:00:00,0.2916666666666667,226,1.9592171241552478,0.781970121971509,0.0004590846006574318,230.4
8,2025-05-07 23:00:00,0.3333333333333333,208,1.9722379393186102,0.7991474942297252,0.00020777707348018006,240.0
9,2025-05-08 00:00:00,0.375,158,1.901863245958541,0.7773266049463684,0.00021189672377509942,194.4
10,2025-05-08 01:00:00,0.4166666666666667,290,2.0262207012977296,0.8132206237032287,0.00014980009627014085,169.0
11,2025-05-08 02:00:00,0.4583333333333333,90,1.8797647279499448,0.7277087036374031,0.0006070971193818064,142.0
12,2025-05-08 03:00:00,0.5,99,1.8489489127376504,0.7831608738801291,0.0015927866856192672,119.0
13,2025-05-08 04:00:00,0.5416666666666666,73,1.8764794206700157,0.703396665644892,0.000975063721426211,67.8
14,2025-05-08 05:00:00,0.5833333333333334,43,1.932142266243035,0.8412717552436995,0.001053525874292546,55.6
15,2025-05-08 06:00:00,0.625,34,1.8867790695200066,0.7580720615027327,0.0030974905881690227,41.8
16,2025-05-08 07:00:00,0.6666666666666666,29,1.8461768753872194,0.6083848416627861,0.0012552717448650883,28.2
17,2025-05-08 08:00:00,0.7083333333333334,30,1.8610072752120261,0.799063038534832,0.0011986885555808177,23.0
18,2025-05-08 09:00:00,0.75,5,1.2781864222838542,0.6034002654381673,0.005066679026988794,17.4
19,2025-05-08 10:00:00,0.7916666666666666,17,2.0428284662472254,0.6085248534065504,0.00311825021492612,12.0
20,2025-05-08 11:00:00,0.8333333333333334,6,1.9494352666907837,0.6164983178655883,0.002555491461170391,7.2
21,2025-05-08 12:00:00,0.875,2,1.1455444350657182,0.6632099360906789,0.0038415633494196283,6.6
22,2025-05-08 13:00:00,0.9166666666666666,6,1.6680734756220108,0.463981525809526,0.0016059253839327038,5.2
23,2025-05-08 14:00:00,0.9583333333333334,2,2.1102134330157964,0.9043771855781986,0.004842280782342012,6.8
24,2025-05-08 15:00:00,1.0,10,2.074038345592669,0.9243346386946487,0.004910149952125025,8.4
25,2025-05-08 16:00:00,1.0416666666666667,14,2.187731477493928,0.7389230362793826,0.00046777217077772316,7.6
26,2025-05-08 17:00:00,1.0833333333333333,10,1.4590618593994935,0.45583162116087783,0.006556259705432799,7.8
27,2025-05-08 18:00:00,1.125,2,2.532256119618956,0.9646689979500785,0.0003341699553763691,11.0
28,2025-05-08 19:00:00,1.1666666666666667,3,1.9293379959001566,1.2336516140699232,0.01061317763849472,9.6
29,2025-05-08 20:00:00,1.2083333333333333,26,2.1705052453876768,0.7273563401985121,0.01039653628534668,8.4
30,2025-05-08 21:00:00,1.25,7,2.3772200306626936,0.7807113878227533,0.002982687522814833,12.2
31,2025-05-08 22:00:00,1.2916666666666667,4,2.2307970577595566,0.18087543711563966,0.0006200759136590159,12.0
32,2025-05-08 23:00:00,1.3333333333333333,21,1.7111390558876391,0.835112066410471,0.000515899401870903,7.2
33,2025-05-09 00:00:00,1.375,2,1.6881707464126374,0.8440853732063186,0.005652503469565722,5.8
34,2025-05-09 01:00:00,1.4166666666666667,2,0.9646689979500784,0.2411672494875196,0.008206615111003434,5.6
35,2025-05-09 02:00:00,1.4583333333333333,0,,,,2.4
36,2025-05-09 03:00:00,1.5,3,1.2460307890188513,0.5052375533573108,,3.6
37,2025-05-09 04:00:00,1.5416666666666667,5,1.9775714457976612,0.8444298275659761,0.0022527411068583893,4.6
38,2025-05-09 05:00:00,1.5833333333333333,8,2.0499216206439166,0.6632099360906789,0.0035856293203503425,5.6
39,2025-05-09 06:00:00,1.625,7,2.049921620643917,0.7920321050505693,0.005572392036686897,32.0
40,2025-05-09 07:00:00,1.6666666666666667,5,2.074038345592669,0.5081709274256717,0.0004809288653395101,41.6
41,2025-05-09 08:00:00,1.7083333333333333,135,2.0793976178035027,0.7812598432545987,0.0004503303378707346,44.6
42,2025-05-09 09:00:00,1.75,53,1.98849222690653,0.7222199396280541,0.0039370379763294374,47.6
43,2025-05-09 10:00:00,1.7916666666666667,23,1.7248701104650859,0.6935527896928764,0.0029278242310964903,53.4
44,2025-05-09 11:00:00,1.8333333333333333,22,1.660765377152692,0.8369547724955262,0.000530427565906799,27.4
45,2025-05-09 12:00:00,1.875,34,1.6562515516275245,0.6171553869774629,0.00048508835770992825,21.6
46,2025-05-09 13:00:00,1.9166666666666667,5,1.47112022187387,0.35279727091107665,0.004354615575928477,20.0
47,2025-05-09 14:00:00,1.9583333333333333,24,1.874070501225934,0.7284914148692658,0.0008240346528883344,20.4
48,2025-05-09 15:00:00,2.0,15,1.7203263796776402,0.7214444357469216,0.0011758891481901514,21.0
49,2025-05-09 16:00:00,2.0416666666666665,24,1.738413923389204,0.7860448292376887,0.00043968920202492814,23.2
50,2025-05-09 17:00:00,2.0833333333333335,37,1.7272789490322351,0.8245634749918135,0.0005204230144090658,23.2
51,2025-05-09 18:00:00,2.125,16,2.0273121910044614,0.7652771486487697,0.0022615540454066466,31.8
52,2025-05-09 19:00:00,2.1666666666666665,24,1.7886571003657705,0.7543841946671273,0.0004974290830650456,31.6
53,2025-05-09 20:00:00,2.2083333333333335,58,1.8939945196821584,0.7964088514667247,0.0003233265826610708,38.4
54,2025-05-09 21:00:00,2.25,23,1.9345807621933637,0.6972287855461333,0.0021799000460817936,47.0
55,2025-05-09 22:00:00,2.2916666666666665,71,1.766295348359299,0.632296825121743,0.0003808904527296296,50.4
56,2025-05-09 23:00:00,2.3333333333333335,59,1.9334255763999457,0.7107748916566136,0.0005390701366750956,57.8
57,2025-05-10 00:00:00,2.375,41,1.7264045786484639,0.6947139356244704,0.0006605961703969521,72.2
58,2025-05-10 01:00:00,2.4166666666666665,95,1.8493720131753482,0.7591398175126791,0.0006142273214792436,75.8
59,2025-05-10 02:00:00,2.4583333333333335,95,1.7452893055017873,0.7205004174623263,0.00037971226105721153,91.8
60,2025-05-10 03:00:00,2.5,89,1.8710784918104753,0.8399355264869238,0.000787041098758621,103.6
61,2025-05-10 04:00:00,2.5416666666666665,139,1.9406156010920195,0.7965708530074275,0.0005764495337159265,104.8
62,2025-05-10 05:00:00,2.5833333333333335,100,1.9703364283130356,0.714445511102224,0.00044280055588123213,111.8
63,2025-05-10 06:00:00,2.625,101,2.0379826478970102,0.7848728265218767,0.00035207058155822243,128.4
64,2025-05-10 07:00:00,2.6666666666666665,130,1.97386118042093,0.7901732930709788,0.0006027964110530082,138.2
65,2025-05-10 08:00:00,2.7083333333333335,172,1.9636903076004144,0.671446725353289,0.00024922087947140063,165.6
66,2025-05-10 09:00:00,2.75,188,1.8555767360834954,0.7512271823986733,0.0003111742148411271,186.8
67,2025-05-10 10:00:00,2.7916666666666665,237,1.9527424125170894,0.8054819680867866,0.00019125115070733287,209.4
68,2025-05-10 11:00:00,2.8333333333333335,207,1.928755466312023,0.7955021154854948,0.00037797777748668895,217.2
69,2025-05-10 12:00:00,2.875,243,1.9467060076945253,0.7380747375757625,0.000386864102811342,198.4
70,2025-05-10 13:00:00,2.9166666666666665,211,1.916765295689907,0.775616286437822,0.0003328634371689375,199.6
71,2025-05-10 14:00:00,2.9583333333333335,94,1.806188762119296,0.804677415529742,0.0008095187937829985,200.0
72,2025-05-10 15:00:00,3.0,243,2.026102633040211,0.8174910038779346,0.00023869819451371096,180.8
73,2025-05-10 16:00:00,3.0416666666666665,209,1.9726096315737551,0.8103211222250702,0.0005745747302158937,161.8
74,2025-05-10 17:00:00,3.0833333333333335,147,1.8169573388260407,0.75030209539908,0.0003837865782787631,190.8
75,2025-05-10 18:00:00,3.125,116,1.9199823698424514,0.8110894216642386,0.000530608029309252,173.6
76,2025-05-10 19:00:00,3.1666666666666665,239,1.995936483206334,0.7881802872291114,0.00021701225153201057,175.4
77,2025-05-10 20:00:00,3.2083333333333335,157,1.927801898769663,0.7841907494041087,0.0003382955626072853,188.8
78,2025-05-10 21:00:00,3.25,218,1.958654198246117,0.7864956387714166,0.00036895903786458395,201.2
79,2025-05-10 22:00:00,3.2916666666666665,214,1.9980819315017397,0.7991154607881394,0.0004384483439504648,174.6
80,2025-05-10 23:00:00,3.3333333333333335,178,1.9300154319942229,0.7805818941987772,0.00030967330541794164,174.0
81,2025-05-11 00:00:00,3.375,106,1.9907673896375442,0.7433726480655252,0.0005866258741117034,176.2
82,2025-05-11 01:00:00,3.4166666666666665,154,1.8948855316876543,0.8073472903528188,0.0008343475257808622,150.2
83,2025-05-11 02:00:00,3.4583333333333335,229,1.9677773173250235,0.8280123421710557,0.00022295713779606145,123.4
84,2025-05-11 03:00:00,3.5,84,1.966661498797035,0.7555633471781442,0.0008230755794732975,143.0
85,2025-05-11 04:00:00,3.5416666666666665,44,1.8114949080823919,0.7084963779212295,0.0009700743378468449,123.8
86,2025-05-11 05:00:00,3.5833333333333335,204,1.978398980477275,0.7448231970643554,0.000586428186443549,96.6
87,2025-05-11 06:00:00,3.625,58,1.8337027073102785,0.775273978329799,0.0012562542296256313,110.2
88,2025-05-11 07:00:00,3.6666666666666665,93,2.077150181069927,0.8305720514640249,0.0009364202374096185,114.4
89,2025-05-11 08:00:00,3.7083333333333335,152,1.9721769152170192,0.791252789945149,0.0004583912092751135,94.6
90,2025-05-11 09:00:00,3.75,65,1.9515995881605432,0.8062381905730237,0.0007889152333408763,116.2
91,2025-05-11 10:00:00,3.7916666666666665,105,1.9247443340051567,0.7956820457467719,0.0005388341190813379,137.2
92,2025-05-11 11:00:00,3.8333333333333335,166,1.9380548844358505,0.7828784534793989,0.0007071005871357555,133.0
